#id: 243
#name: S.cerevisiae - Whole organism, SC (GPM,Aug,2014)
#score: 22.88
#weight: 90%
#description: abundance based on Spectral counting, from<a href="http://www.thegpm.org/" target="_blank">GPM,Aug,2014</a><br/><b>Interaction consistency score</b>: 22.88&nbsp<b>Coverage</b>: 79
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 79
#publication_year: 2014
#filename: 4932-GPM_201408.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
634490	4932.YOL145C	51.9	5573
635380	4932.YPR137W	54.8	2277
633391	4932.YML007W	35.0	1687
634157	4932.YNL249C	0.82	56
630513	4932.YER006W	191	11632
631395	4932.YGR217W	0.584	95
634485	4932.YOL140W	163	7433
633767	4932.YMR210W	2.84	135
632876	4932.YLR008C	99.2	910
632734	4932.YKR045C	2.37	36
633619	4932.YMR078C	5.28	502
632902	4932.YLR034C	11.0	467
635133	4932.YPL187W	23.2	161
634589	4932.YOR069W	19.0	1271
631263	4932.YGR098C	0.056	8
630979	4932.YGL089C	2.08	23
629639	4932.YDL075W	3209	46321
629497	4932.YCR044C	1.8	41
628852	4932.YAL047C	2.8	178
630476	4932.YEL052W	17.9	1061
632858	4932.YLL060C	0.323	6
632411	4932.YJR127C	1.44	184
633459	4932.YML067C	24.2	651
634240	4932.YNL329C	1.44	462
630043	4932.YDR204W	12.5	324
633695	4932.YMR148W	28.4	183
632566	4932.YKL106W	14.2	871
629752	4932.YDL180W	2.85	91
631806	4932.YIL002W-A	177	1046
629714	4932.YDL145C	176	20761
632443	4932.YJR156C	0.818	112
631599	4932.YHR050W	2.07	61
628983	4932.YBL061C	10.4	642
629459	4932.YCR012W	6739	295561
630249	4932.YDR388W	132	5151
630016	4932.YDR180W	1.45	269
634516	4932.YOR002W	1.78	107
634903	4932.YOR362C	212	6363
632520	4932.YKL065W-A	29.6	177
631771	4932.YHR198C	20.9	641
629113	4932.YBR064W	0.1	11
631511	4932.YHL027W	1.89	126
630713	4932.YER167W	12.8	664
631357	4932.YGR180C	601	24045
635215	4932.YPL263C	34.3	1720
630301	4932.YDR439W	6.66	210
630767	4932.YFL019C	0.181	18
629964	4932.YDR130C	6.29	116
633828	4932.YMR268C	2.75	133
629233	4932.YBR172C	25.6	1818
630983	4932.YGL093W	4.09	319
632147	4932.YJL099W	1.78	154
631957	4932.YIL138C	405	4898
631109	4932.YGL216W	2.14	141
632732	4932.YKR043C	255	5464
632464	4932.YKL014C	13.4	3037
629617	4932.YDL053C	114	2150
634210	4932.YNL299W	1.61	80
631298	4932.YGR129W	20.9	279
630617	4932.YER088C	58.5	2531
631632	4932.YHR073W	14.6	1431
634860	4932.YOR323C	224	11446
631545	4932.YHR005C	19.8	1161
632643	4932.YKL179C	31.0	1861
628774	4932.Q0060	0.063	30
631612	4932.YHR059W	25.1	150
630943	4932.YGL054C	60.2	658
635432	4932.YPR178W	5.5	293
632203	4932.YJL151C	63.8	400
633793	4932.YMR235C	203	10647
634642	4932.YOR119C	23.1	901
633318	4932.YLR410W	57.9	6586
628782	4932.Q0110	0.131	32
628976	4932.YBL055C	21.1	1040
632682	4932.YKL219W	0.861	49
630908	4932.YGL020C	49.0	1141
629106	4932.YBR058C	20.6	2014
629161	4932.YBR108W	16.4	849
631142	4932.YGL248W	7.75	325
633347	4932.YLR436C	1.94	319
634313	4932.YNR057C	12.1	356
633102	4932.YLR213C	0.285	14
632650	4932.YKL185W	20.4	826
633096	4932.YLR207W	3.93	353
634651	4932.YOR128C	98.3	6768
634352	4932.YOL016C	31.8	1558
633635	4932.YMR093W	62.3	2943
634987	4932.YPL046C	15.5	135
631540	4932.YHR001W	60.2	2957
630235	4932.YDR376W	17.8	1054
633066	4932.YLR177W	5.53	417
632048	4932.YJL003W	2.31	28
630907	4932.YGL019W	49.9	1638
634953	4932.YPL013C	45.2	528
629230	4932.YBR169C	194	25297
631179	4932.YGR021W	22.7	513
629406	4932.YCL030C	367	27039
629962	4932.YDR128W	3.79	384
631975	4932.YIL155C	88.0	7308
635149	4932.YPL202C	0.255	9
633179	4932.YLR284C	9.13	302
629670	4932.YDL104C	2.83	131
634821	4932.YOR289W	27.2	756
632445	4932.YJR158W	1.39	708
634562	4932.YOR042W	158	5265
632145	4932.YJL097W	4.96	157
629197	4932.YBR138C	0.118	6
632551	4932.YKL095W	24.7	497
635118	4932.YPL173W	30.1	778
634002	4932.YNL100W	18.2	503
630724	4932.YER176W	8.65	1019
635262	4932.YPR024W	34.6	3024
633775	4932.YMR218C	0.835	121
631332	4932.YGR161C-C	1064	1910823
634480	4932.YOL135C	8.02	232
634891	4932.YOR350C	0.152	20
632813	4932.YLL015W	7.3	1387
633830	4932.YMR270C	2.77	89
635274	4932.YPR036W	207	11642
634317	4932.YNR061C	2.3	67
631537	4932.YHL049C	6.46	2739
631697	4932.YHR133C	44.7	805
632674	4932.YKL211C	103	4727
633302	4932.YLR396C	7.21	455
633979	4932.YNL079C	968	13593
631044	4932.YGL153W	582	24060
632173	4932.YJL125C	18.8	743
634999	4932.YPL058C	14.2	2454
630099	4932.YDR255C	10.8	610
630576	4932.YER058W	14.0	172
629498	4932.YCR045C	0.609	25
634107	4932.YNL199C	22.1	488
632247	4932.YJL194W	0.176	192
632363	4932.YJR080C	23.2	1120
632075	4932.YJL031C	12.8	482
631116	4932.YGL223C	9.27	415
632597	4932.YKL137W	217	1191
629474	4932.YCR024C	3.24	214
632598	4932.YKL138C	17.3	113
632178	4932.YJL128C	31.3	2083
631115	4932.YGL222C	36.1	502
630871	4932.YFR044C	323	16339
632666	4932.YKL203C	3.65	1459
633088	4932.YLR199C	28.6	1167
635340	4932.YPR101W	2.24	44
632218	4932.YJL165C	20.1	1592
629088	4932.YBR042C	14.0	618
632869	4932.YLR001C	4.86	342
630977	4932.YGL087C	101	1574
634452	4932.YOL107W	2.47	104
631654	4932.YHR092C	24.4	3294
635101	4932.YPL156C	0.782	43
631674	4932.YHR112C	22.5	1038
629146	4932.YBR093C	66.3	4762
631959	4932.YIL140W	8.22	705
630615	4932.YER087C-B	102	1006
630241	4932.YDR381C-A	21.6	289
630305	4932.YDR443C	4.28	518
629439	4932.YCL063W	0.85	30
629454	4932.YCR007C	0.662	17
632010	4932.YIR015W	1.21	26
631054	4932.YGL163C	0.11	24
628978	4932.YBL057C	38.8	1039
634364	4932.YOL027C	86.8	4122
632118	4932.YJL072C	9.53	195
631136	4932.YGL242C	170	2774
633104	4932.YLR215C	9.7	458
635266	4932.YPR028W	186	3029
631611	4932.YHR058C	18.3	567
632148	4932.YJL100W	0.518	43
632456	4932.YKL006W	3195	47690
634858	4932.YOR321W	10.6	1598
633456	4932.YML064C	21.8	716
629458	4932.YCR011C	18.2	1680
629415	4932.YCL039W	35.4	2583
635022	4932.YPL081W	1798	44222
631083	4932.YGL191W	188	1946
634071	4932.YNL163C	15.6	1865
629256	4932.YBR193C	15.3	253
635253	4932.YPR016C	136	3053
634861	4932.YOR324C	2.44	111
632053	4932.YJL008C	270	16484
628846	4932.YAL042W	55.2	2517
633674	4932.YMR129W	52.4	8826
635241	4932.YPR005C	0.523	20
630059	4932.YDR216W	11.2	1526
628880	4932.YAR002C-A	122	2872
631708	4932.YHR142W	5.82	191
633173	4932.YLR278C	4.21	478
632838	4932.YLL040C	16.1	5172
632047	4932.YJL002C	52.8	2561
633346	4932.YLR435W	30.7	609
631672	4932.YHR110W	2.81	73
633741	4932.YMR187C	0.111	21
632800	4932.YLL003W	1.89	152
629875	4932.YDR046C	4.55	200
635294	4932.YPR055W	8.03	850
634165	4932.YNL257C	0.606	85
631559	4932.YHR017W	4.35	211
635391	4932.YPR147C	5.26	155
631172	4932.YGR014W	3.58	128
631738	4932.YHR170W	82.6	3625
634237	4932.YNL326C	1.62	56
631704	4932.YHR139C	69.6	1047
630837	4932.YFR015C	33.7	2998
629684	4932.YDL117W	4.79	422
629910	4932.YDR080W	3.98	437
632839	4932.YLL041C	210	5948
631052	4932.YGL161C	27.5	609
635225	4932.YPL273W	126	5273
633577	4932.YMR039C	83.8	2156
633208	4932.YLR308W	1.24	66
630436	4932.YEL018W	5.5	197
631218	4932.YGR054W	165	9337
632778	4932.YKR088C	2.18	92
633888	4932.YMR318C	203	8549
630716	4932.YER170W	2.36	65
634100	4932.YNL192W	9.99	1160
630182	4932.YDR329C	4.33	215
634199	4932.YNL288W	17.6	614
631349	4932.YGR173W	89.2	3124
631871	4932.YIL059C	0.296	5
631482	4932.YHL003C	11.9	595
633237	4932.YLR336C	12.3	1090
629278	4932.YBR211C	3.51	112
635311	4932.YPR072W	48.5	2388
634286	4932.YNR032C-A	57.8	675
632749	4932.YKR060W	28.4	646
633403	4932.YML016C	47.0	4303
632963	4932.YLR094C	0.186	12
632425	4932.YJR140C	1.26	231
629575	4932.YDL013W	3.11	173
633063	4932.YLR174W	114	12787
634943	4932.YPL003W	2.03	96
629330	4932.YBR258C	7.91	124
628865	4932.YAL060W	106	4560
631714	4932.YHR147C	18.7	496
630339	4932.YDR476C	28.7	820
635220	4932.YPL268W	0.029	14
629268	4932.YBR201W	0.5	16
634749	4932.YOR217W	31.6	2767
630437	4932.YEL019C	1.05	28
632812	4932.YLL014W	14.5	144
635171	4932.YPL223C	160	1974
630739	4932.YER189W	3.17	880
634487	4932.YOL142W	35.0	1081
631295	4932.YGR126W	14.6	382
635339	4932.YPR100W	22.8	312
632402	4932.YJR118C	33.0	470
631283	4932.YGR116W	54.3	8381
635153	4932.YPL206C	18.0	783
634147	4932.YNL239W	99.2	5962
629567	4932.YDL006W	11.6	437
629479	4932.YCR027C	9.14	254
635359	4932.YPR119W	5.47	313
632466	4932.YKL016C	524	5871
630715	4932.YER169W	10.7	852
628779	4932.Q0085	37.6	480
633305	4932.YLR399C	50.2	2056
631184	4932.YGR026W	15.0	476
633609	4932.YMR069W	0.68	17
630013	4932.YDR178W	30.7	424
633468	4932.YML076C	2.09	223
631146	4932.YGL252C	27.5	1886
630851	4932.YFR029W	0.671	54
635304	4932.YPR065W	2.2	95
629418	4932.YCL042W	3.1	32
633618	4932.YMR077C	10.0	138
633732	4932.YMR179W	0.053	7
632638	4932.YKL174C	3.4	145
633978	4932.YNL078W	3.36	100
634477	4932.YOL132W	0.14	8
632941	4932.YLR072W	4.07	404
629101	4932.YBR055C	8.22	837
632704	4932.YKR016W	65.4	4602
629340	4932.YBR268W	35.3	242
631361	4932.YGR184C	9.12	1959
629290	4932.YBR222C	60.2	3878
633879	4932.YMR312W	12.4	256
630553	4932.YER040W	37.1	1575
632533	4932.YKL077W	19.2	765
633276	4932.YLR370C	140	1979
629199	4932.YBR140C	2.33	748
635015	4932.YPL074W	5.92	553
635126	4932.YPL181W	20.5	708
630662	4932.YER127W	25.5	812
630012	4932.YDR177W	141	3414
630270	4932.YDR408C	83.0	1624
629354	4932.YBR282W	43.7	460
631983	4932.YIL161W	16.9	274
631270	4932.YGR105W	172	39
630219	4932.YDR364C	5.16	246
629227	4932.YBR166C	21.8	1297
632901	4932.YLR033W	24.1	1243
633527	4932.YML129C	53.2	471
635066	4932.YPL123C	9.25	593
633837	4932.YMR275C	15.6	1289
629041	4932.YBL111C	4.4	5141
633770	4932.YMR213W	4.82	277
629620	4932.YDL056W	8.08	546
630461	4932.YEL038W	57.6	1640
630666	4932.YER131W	1261	20077
634054	4932.YNL147W	34.2	375
630006	4932.YDR171W	236	6420
630060	4932.YDR217C	2.6	358
633625	4932.YMR084W	0.283	159
632737	4932.YKR048C	239	10332
631622	4932.YHR068W	261	13383
631785	4932.YHR211W	0.42	44
635136	4932.YPL189W	0.138	70
633222	4932.YLR321C	24.2	926
628981	4932.YBL059W	2.23	49
632462	4932.YKL012W	6.7	449
633715	4932.YMR165C	13.9	901
633929	4932.YNL032W	11.2	340
629724	4932.YDL155W	4.92	243
634441	4932.YOL098C	37.2	4041
634806	4932.YOR274W	6.65	292
632939	4932.YLR070C	3.46	130
634344	4932.YOL010W	35.5	1667
630088	4932.YDR245W	19.5	1026
631185	4932.YGR027C	3099	25163
632668	4932.YKL205W	11.3	1264
633217	4932.YLR316C	2.55	90
632495	4932.YKL042W	23.4	811
632710	4932.YKR022C	5.27	101
631174	4932.YGR016W	0.423	14
633665	4932.YMR121C	2305	39574
633464	4932.YML072C	87.3	13160
634684	4932.YOR159C	5.82	30
632338	4932.YJR055W	9.06	143
634980	4932.YPL039W	0.22	5
633667	4932.YMR122W-A	5.41	75
630545	4932.YER034W	33.3	505
633334	4932.YLR423C	1.1	60
630633	4932.YER099C	40.9	2086
631772	4932.YHR199C	33.9	1181
634039	4932.YNL135C	809	13903
631941	4932.YIL123W	37.6	762
629394	4932.YCL019W	39.7	171407
635333	4932.YPR094W	17.8	219
629748	4932.YDL176W	3.25	252
635456	4932.YPR202W	4.18	1937
633981	4932.YNL081C	8.46	79
629548	4932.YCR096C	3.29	87
634187	4932.YNL278W	7.19	699
629534	4932.YCR084C	89.4	6510
629167	4932.YBR112C	95.0	6371
629352	4932.YBR280C	6.15	388
634744	4932.YOR212W	22.7	822
631860	4932.YIL048W	7.74	842
631392	4932.YGR214W	1005	61269
634179	4932.YNL271C	10.7	1719
633143	4932.YLR251W	2.12	52
628913	4932.YAR073W	357	41576
630150	4932.YDR302W	5.12	130
631508	4932.YHL024W	105	5532
631465	4932.YGR285C	628	21563
631994	4932.YIL177C	2.62	8224
630480	4932.YEL055C	31.1	4195
633454	4932.YML062C	17.6	717
633071	4932.YLR182W	33.6	2348
630290	4932.YDR428C	19.1	865
631460	4932.YGR280C	36.3	769
632409	4932.YJR125C	179	3894
628917	4932.YBL003C	2184	30651
633992	4932.YNL092W	0.125	6
629385	4932.YCL008C	7.36	172
630681	4932.YER142C	4.23	129
634070	4932.YNL162W-A	1.96	17
633950	4932.YNL052W	134	3445
633824	4932.YMR264W	40.4	951
634533	4932.YOR016C	37.9	772
629064	4932.YBR018C	6.85	278
634444	4932.YOL101C	4.25	92
632662	4932.YKL197C	3.02	358
630659	4932.YER124C	3.62	196
630271	4932.YDR409W	1.53	124
632586	4932.YKL126W	61.1	5254
631635	4932.YHR075C	5.07	179
633598	4932.YMR058W	84.7	3311
632889	4932.YLR021W	7.53	168
629423	4932.YCL047C	7.45	292
630567	4932.YER051W	0.39	16
633581	4932.YMR043W	55.4	479
634702	4932.YOR174W	14.5	498
635052	4932.YPL110C	11.5	1785
632513	4932.YKL059C	14.1	504
628991	4932.YBL068W-A	21.0	511
630130	4932.YDR282C	0.831	30
632067	4932.YJL024C	22.8	410
633561	4932.YMR025W	4.83	150
630202	4932.YDR349C	2.94	197
633952	4932.YNL054W	7.84	432
633657	4932.YMR114C	5.73	237
630747	4932.YFL003C	0.105	73
634401	4932.YOL062C	15.1	666
632611	4932.YKL149C	2.71	120
635197	4932.YPL249C	19.9	1654
630346	4932.YDR483W	99.3	5414
631657	4932.YHR095W	0.335	136
631940	4932.YIL122W	3.81	55
632733	4932.YKR044W	0.351	19
628825	4932.YAL027W	1.56	42
630817	4932.YFL066C	3.21	2998
630104	4932.YDR260C	1.51	18
634759	4932.YOR227W	9.46	1180
632459	4932.YKL009W	237	5823
635042	4932.YPL100W	8.71	446
630798	4932.YFL047W	12.6	1008
628866	4932.YAL061W	15.9	462
634893	4932.YOR352W	16.9	667
632715	4932.YKR027W	1.61	130
632003	4932.YIR008C	25.0	887
632623	4932.YKL161C	8.79	387
633336	4932.YLR425W	0.817	101
633146	4932.YLR254C	0.335	8
635083	4932.YPL139C	32.3	1473
630065	4932.YDR222W	3.97	236
631220	4932.YGR056W	5.83	460
631510	4932.YHL026C	0.065	16
635415	4932.YPR164W	1.64	255
631721	4932.YHR154W	8.04	918
633859	4932.YMR295C	225	2225
632542	4932.YKL086W	13.1	165
630023	4932.YDR185C	0.298	7
629066	4932.YBR020W	25.3	1935
631291	4932.YGR122W	5.2	260
633613	4932.YMR073C	16.1	333
633437	4932.YML048W	115	5372
632969	4932.YLR099W-A	22.1	104
634330	4932.YNR074C	6.03	235
630534	4932.YER023W	302	9604
631034	4932.YGL143C	6.77	247
632948	4932.YLR079W	70.6	1743
635428	4932.YPR174C	18.8	341
633129	4932.YLR237W	2.77	266
633724	4932.YMR173W	1081	23479
631844	4932.YIL034C	103	2959
634083	4932.YNL175C	173	4270
633275	4932.YLR369W	26.0	4316
632987	4932.YLR117C	1.29	96
631396	4932.YGR218W	65.9	8121
634281	4932.YNR027W	7.34	329
629115	4932.YBR066C	0.956	16
629779	4932.YDL206W	0.219	16
630171	4932.YDR320C-A	7.85	80
634445	4932.YOL102C	19.5	319
630997	4932.YGL107C	13.2	1118
633682	4932.YMR136W	0.065	6
633362	4932.YLR449W	248	7887
633869	4932.YMR304W	14.0	2047
634690	4932.YOR162C	0.354	27
633537	4932.YMR003W	3.67	60
635100	4932.YPL155C	2.35	122
631521	4932.YHL035C	1.17	692
629998	4932.YDR165W	62.5	3503
629704	4932.YDL135C	179	3602
629978	4932.YDR145W	374	13527
629655	4932.YDL089W	4.71	206
634169	4932.YNL261W	3.4	193
632163	4932.YJL115W	58.1	1173
629320	4932.YBR249C	592	20576
633570	4932.YMR032W	1.74	107
631560	4932.YHR018C	132	8025
634777	4932.YOR245C	5.25	191
631140	4932.YGL246C	22.0	1025
634397	4932.YOL058W	550	16657
630748	4932.YFL004W	78.1	9518
629343	4932.YBR271W	2.53	122
629360	4932.YBR288C	13.2	864
632201	4932.YJL149W	1.11	65
633705	4932.YMR157C	16.9	439
630543	4932.YER032W	1.23	89
631792	4932.YHR214C-C	877	1888814
631826	4932.YIL020C	29.5	853
635383	4932.YPR140W	3.0	128
631726	4932.YHR159W	6.71	239
632888	4932.YLR020C	6.67	428
633628	4932.YMR086W	44.7	3477
630110	4932.YDR262W	18.3	666
632717	4932.YKR029C	7.93	612
632001	4932.YIR006C	128	12425
630661	4932.YER126C	106	2349
633934	4932.YNL037C	392	13467
632617	4932.YKL155C	5.29	316
631729	4932.YHR162W	4.03	164
632782	4932.YKR092C	216	2096
630987	4932.YGL097W	104	4024
630147	4932.YDR299W	60.9	3940
634321	4932.YNR065C	4.53	2174
633843	4932.YMR281W	3.14	105
631319	4932.YGR149W	12.1	530
629495	4932.YCR042C	8.01	1005
633273	4932.YLR367W	3291	74279
628895	4932.YAR028W	25.7	406
635441	4932.YPR187W	134	1709
635053	4932.YPL111W	170	4998
629955	4932.YDR121W	44.5	956
628843	4932.YAL040C	0.422	21
628771	4932.Q0045	26.9	726
632669	4932.YKL206C	27.0	619
632058	4932.YJL013C	0.865	56
632239	4932.YJL186W	41.1	2880
634109	4932.YNL201C	4.77	381
632851	4932.YLL053C	0.901	11
635194	4932.YPL246C	22.4	240
629691	4932.YDL124W	424	16824
633880	4932.YMR313C	7.2	471
629134	4932.YBR084C-A	3133	59418
631236	4932.YGR071C	0.502	48
631534	4932.YHL047C	0.09	7
633451	4932.YML059C	7.34	1233
634065	4932.YNL158W	6.11	105
632809	4932.YLL011W	45.9	2077
629847	4932.YDR022C	1.02	36
632275	4932.YJL221C	1.34	358
632227	4932.YJL174W	36.2	434
632133	4932.YJL085W	8.51	607
630916	4932.YGL028C	19.0	391
634977	4932.YPL037C	1686	20050
631051	4932.YGL160W	1.72	101
630789	4932.YFL038C	315	7379
634062	4932.YNL155W	15.5	392
635011	4932.YPL070W	6.44	433
633518	4932.YML120C	114	5789
630440	4932.YEL020W-A	755	4401
634297	4932.YNR041C	1.74	32
634639	4932.YOR116C	19.5	2958
631071	4932.YGL180W	10.0	1114
634022	4932.YNL119W	9.07	533
633551	4932.YMR015C	35.1	2607
629318	4932.YBR247C	68.8	3653
629654	4932.YDL088C	103	3961
631366	4932.YGR189C	33.2	1631
630350	4932.YDR487C	236	6233
632000	4932.YIR005W	5.65	75
632077	4932.YJL033W	35.0	2610
630267	4932.YDR406W	16.1	5945
632503	4932.YKL050C	3.76	353
633120	4932.YLR228C	3.71	152
633985	4932.YNL085W	39.1	3316
632119	4932.YJL073W	4.74	332
634722	4932.YOR192C-A	88.3	62814
633082	4932.YLR193C	1.7	40
632675	4932.YKL212W	137	10853
633516	4932.YML118W	2.23	124
629007	4932.YBL082C	2.42	141
634505	4932.YOL159C-A	5.21	58
631062	4932.YGL171W	43.6	2095
630742	4932.YER190W	2.18	6845
634761	4932.YOR229W	21.9	1117
628924	4932.YBL007C	125	9146
633010	4932.YLR139C	3.19	223
629165	4932.YBR111C	109	2248
631294	4932.YGR125W	6.74	713
629149	4932.YBR096W	39.6	917
